Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrArea,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition
1461,SC20,11622,Pave,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,896,0,0,896,1,0,2,1,5,0,Y,140,0,0,0,120,0,0,Jun,2010,Normal
1462,SC20,14267,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,108.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1329,0,0,1329,1,1,3,1,6,0,Y,393,36,0,0,0,0,12500,Jun,2010,Normal
1463,SC60,13830,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,928,701,0,1629,2,1,3,1,6,1,Y,212,34,0,0,0,0,0,Mar,2010,Normal
1464,SC60,9978,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,20.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,926,678,0,1604,2,1,3,1,7,1,Y,360,36,0,0,0,0,0,Jun,2010,Normal
1465,SC120,5005,Pave,IR1,HLS,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1280,0,0,1280,2,0,2,1,5,0,Y,0,82,0,0,144,0,0,Jan,2010,Normal
1466,SC60,10000,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,763,892,0,1655,2,1,3,1,7,1,Y,157,84,0,0,0,0,0,Apr,2010,Normal
1467,SC20,7980,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,0.0,TA,Gd,PConc,GasA,Ex,Y,SBrkr,1187,0,0,1187,2,0,3,1,6,0,Y,483,21,0,0,0,0,500,Mar,2010,Normal
1468,SC60,8402,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,789,676,0,1465,2,1,3,1,7,1,Y,0,75,0,0,0,0,0,May,2010,Normal
1469,SC20,10176,Pave,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,1341,0,0,1341,1,1,2,1,5,1,Y,192,0,0,0,0,0,0,Feb,2010,Normal
1470,SC20,8400,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,882,0,0,882,1,0,2,1,4,0,Y,240,0,0,0,0,0,0,Apr,2010,Normal
1471,SC120,5858,Pave,IR1,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1337,0,0,1337,2,0,2,1,5,1,Y,203,68,0,0,0,0,0,Jun,2010,Normal
1472,SC160,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,504.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,483,504,0,987,1,1,2,1,5,0,Y,275,0,0,0,0,0,0,Feb,2010,Normal
1473,SC160,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,492.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,525,567,0,1092,1,1,3,1,6,0,Y,0,0,0,0,0,0,0,Mar,2010,Normal
1474,SC160,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,855,601,0,1456,2,1,3,1,6,1,Y,173,0,0,0,0,0,0,Jun,2010,Normal
1475,SC120,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,836,0,0,836,1,0,2,1,4,0,Y,0,30,0,0,0,0,0,Jun,2010,Normal
1476,SC60,12858,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,162.0,Ex,TA,PConc,GasA,Ex,Y,SBrkr,1627,707,0,2334,2,1,3,1,10,1,Y,144,133,0,0,0,0,0,Jan,2010,Partial
1477,SC20,12883,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,256.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1544,0,0,1544,2,0,3,1,7,0,Y,0,35,0,0,0,0,0,Jun,2010,Partial
1478,SC20,11520,Pave,Reg,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,615.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1698,0,0,1698,2,0,3,1,7,1,Y,192,74,0,0,0,0,0,Jun,2010,Normal
1479,SC20,14122,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,240.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1822,0,0,1822,2,0,3,1,8,1,Y,0,119,0,0,0,0,0,Feb,2010,Normal
1480,SC20,14300,Pave,Reg,HLS,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,1095.0,Ex,TA,PConc,GasA,Ex,Y,SBrkr,2696,0,0,2696,2,1,3,1,10,2,Y,220,150,0,0,0,0,0,Jun,2010,Normal
