Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,SC60,RL,65.0,8450,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,2,4,PConc,2,4,3,2,706,6,0,150,856,GasA,0,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,2,8,Typ,0,3,Attchd,2003.0,2,2,548,5,5,2,0,61,0,0,0,0,3,4,None,0,Feb,2008,WD,Normal,208500
2,SC20,RL,80.0,9600,Pave,1,Reg,Lvl,AllPub,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,2,4,1,0,978,6,0,284,1262,GasA,0,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,5,Attchd,1976.0,2,2,460,5,5,2,298,0,0,0,0,0,3,4,None,0,May,2007,WD,Normal,181500
3,SC60,RL,68.0,11250,Pave,1,IR1,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,2,4,PConc,2,4,2,2,486,6,0,434,920,GasA,0,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,2,6,Typ,1,5,Attchd,2001.0,2,2,608,5,5,2,0,42,0,0,0,0,3,4,None,0,Sep,2008,WD,Normal,223500
4,SC70,RL,60.0,9550,Pave,1,IR1,Lvl,AllPub,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,BrkTil,4,1,3,0,216,6,0,540,756,GasA,2,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,2,7,Typ,1,2,Detchd,1998.0,3,3,642,5,5,2,0,35,272,0,0,0,3,4,None,0,Feb,2006,WD,Abnorml,140000
5,SC60,RL,84.0,14260,Pave,1,IR1,Lvl,AllPub,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,2,4,PConc,2,4,0,2,655,6,0,490,1145,GasA,0,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,2,9,Typ,1,5,Attchd,2000.0,2,3,836,5,5,2,192,84,0,0,0,0,3,4,None,0,Dec,2008,WD,Normal,250000
6,SC50,RL,85.0,14115,Pave,1,IR1,Lvl,AllPub,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,Wood,2,4,3,2,732,6,0,64,796,GasA,0,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,3,Attchd,1993.0,3,2,480,5,5,2,40,30,0,320,0,0,3,2,Shed,700,Oct,2009,WD,Normal,143000
7,SC20,RL,75.0,10084,Pave,1,Reg,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,2,4,PConc,0,4,0,2,1369,6,0,317,1686,GasA,0,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,2,7,Typ,1,2,Attchd,2004.0,2,2,636,5,5,2,255,57,0,0,0,0,3,4,None,0,Aug,2007,WD,Normal,307000
8,SC60,RL,80.0,10382,Pave,1,IR1,Lvl,AllPub,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,4,CBlock,2,4,2,0,859,1,32,216,1107,GasA,0,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,5,Attchd,1973.0,2,2,484,5,5,2,235,204,228,0,0,0,3,4,Shed,350,Nov,2009,WD,Normal,200000
9,SC50,RM,51.0,6120,Pave,1,Reg,Lvl,AllPub,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,952,952,GasA,2,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,5,Detchd,1931.0,3,2,468,1,5,2,90,0,205,0,0,0,3,4,None,0,Apr,2008,WD,Abnorml,129900
10,SC190,RL,50.0,7420,Pave,1,Reg,Lvl,AllPub,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,2,851,6,0,140,991,GasA,0,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,5,Attchd,1939.0,2,1,205,2,5,2,0,4,0,0,0,0,3,4,None,0,Jan,2008,WD,Normal,118000
